Assessment Name,Relative URL,Duration in mins,Remote Testing,Adaptive/IRT,Test Type,Skills,Description
Electronics & Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,15.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Electronics & Telecommunications Engineering (New)' is a Knowledge & Skills assessment. Duration is 15.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Electronics and Embedded Systems Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,18.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Electronics and Embedded Systems Engineering (New)' is a Knowledge & Skills assessment. Duration is 18.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Electronics and Semiconductor Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Electronics and Semiconductor Engineering (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,0.0,Yes,No,Knowledge & Skills,Technical Skills,The 'English Comprehension (New)' is a Knowledge & Skills assessment. Duration is 0.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Enterprise Java Beans (New),https://www.shl.com/solutions/products/product-catalog/view/enterprise-java-beans-new/,4.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Enterprise Java Beans (New)' is a Knowledge & Skills assessment. Duration is 4.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Enterprise Leadership Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report/,,Yes,No,Personality & Behavior,,The 'Enterprise Leadership Report 1.0' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Enterprise Leadership Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report-2-0/,,Yes,No,Personality & Behavior,,The 'Enterprise Leadership Report 2.0' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Entry Level Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-cashier-solution/,19.0,Yes,No,,,The 'Entry Level Cashier Solution' is a General assessment. Duration is 19.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Entry Level Customer Serv-Retail & Contact Center,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,19.0,Yes,No,,,The 'Entry Level Customer Serv-Retail & Contact Center' is a General assessment. Duration is 19.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Entry Level Customer Service (General) Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-general-solution/,14.0,Yes,No,,,The 'Entry Level Customer Service (General) Solution' is a General assessment. Duration is 14.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Entry Level Hotel Front Desk Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-hotel-front-desk-solution/,20.0,Yes,No,,,The 'Entry Level Hotel Front Desk Solution' is a General assessment. Duration is 20.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,20.0,Yes,No,,,The 'Entry Level Sales Solution' is a General assessment. Duration is 20.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Entry Level Technical Support Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-technical-support-solution/,18.0,Yes,No,,,The 'Entry Level Technical Support Solution' is a General assessment. Duration is 18.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
ETL Testing (New),https://www.shl.com/solutions/products/product-catalog/view/etl-testing-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'ETL Testing (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Executive Scenarios,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios/,,Yes,No,Biodata & Situational Judgement,,The 'Executive Scenarios' is a Biodata & Situational Judgement assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Executive Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-narrative-report/,,Yes,No,Biodata & Situational Judgement,,The 'Executive Scenarios Narrative Report' is a Biodata & Situational Judgement assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Executive Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-profile-report/,,Yes,No,Biodata & Situational Judgement,,The 'Executive Scenarios Profile Report' is a Biodata & Situational Judgement assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
ExpressJS (New),https://www.shl.com/solutions/products/product-catalog/view/expressjs-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'ExpressJS (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Filing - Names (R1),https://www.shl.com/solutions/products/product-catalog/view/filing-names-r1/,3.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Filing - Names (R1)' is a Knowledge & Skills assessment. Duration is 3.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Filing - Numbers,https://www.shl.com/solutions/products/product-catalog/view/filing-numbers/,3.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Filing - Numbers' is a Knowledge & Skills assessment. Duration is 3.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Financial Accounting (New),https://www.shl.com/solutions/products/product-catalog/view/financial-accounting-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Financial Accounting (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Financial and Banking Services (New),https://www.shl.com/solutions/products/product-catalog/view/financial-and-banking-services-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Financial and Banking Services (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Fire Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/fire-engineering-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Fire Engineering (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Following Instructions v1 - UK (R1),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-uk-r1/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Following Instructions v1 - UK (R1)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Following Instructions v1 - US (R2),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-us-r2/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Following Instructions v1 - US (R2)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Food and Beverage Services (New),https://www.shl.com/solutions/products/product-catalog/view/food-and-beverage-services-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Food and Beverage Services (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Food Science (New),https://www.shl.com/solutions/products/product-catalog/view/food-science-new/,6.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Food Science (New)' is a Knowledge & Skills assessment. Duration is 6.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Front Office Management (New),https://www.shl.com/solutions/products/product-catalog/view/front-office-management-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Front Office Management (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Fundamentals of Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-chemistry-new/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Fundamentals of Chemistry (New)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Fundamentals of Physics (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-physics-new/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Fundamentals of Physics (New)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
General Diseases (New),https://www.shl.com/solutions/products/product-catalog/view/general-diseases-new/,5.0,Yes,No,Knowledge & Skills,Technical Skills,The 'General Diseases (New)' is a Knowledge & Skills assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Geoinformatics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoinformatics-engineering-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Geoinformatics Engineering (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Geoscience Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/geoscience-engineering-new/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Geoscience Engineering (New)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
GIT (New),https://www.shl.com/solutions/products/product-catalog/view/git-new/,13.0,Yes,No,Knowledge & Skills,Technical Skills,The 'GIT (New)' is a Knowledge & Skills assessment. Duration is 13.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,16.0,Yes,No,,,The 'Global Skills Assessment' is a General assessment. Duration is 16.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Graduate Scenarios,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios/,,Yes,No,Biodata & Situational Judgement,,The 'Graduate Scenarios' is a Biodata & Situational Judgement assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Graduate Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-narrative-report/,,Yes,No,Biodata & Situational Judgement,,The 'Graduate Scenarios Narrative Report' is a Biodata & Situational Judgement assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Graduate Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/graduate-scenarios-profile-report/,,Yes,No,Biodata & Situational Judgement,,The 'Graduate Scenarios Profile Report' is a Biodata & Situational Judgement assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Hibernate (New),https://www.shl.com/solutions/products/product-catalog/view/hibernate-new/,5.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Hibernate (New)' is a Knowledge & Skills assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
HIPAA (Security),https://www.shl.com/solutions/products/product-catalog/view/hipaa-security/,15.0,Yes,Yes,Knowledge & Skills,Technical Skills,The 'HIPAA (Security)' is a Knowledge & Skills assessment. Duration is 15.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
HiPo Assessment Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,,Yes,No,,,The 'HiPo Assessment Report 1.0' is a General assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
HiPo Assessment Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,,Yes,No,,,The 'HiPo Assessment Report 2.0' is a General assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
HiPo Unlocking Potential Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,,Yes,No,Competencies,,The 'HiPo Unlocking Potential Report 2.0' is a Competencies assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Housekeeping (New),https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Housekeeping (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,12.0,Yes,No,Knowledge & Skills,Technical Skills,The 'HTML/CSS (New)' is a Knowledge & Skills assessment. Duration is 12.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
HTML5 (New),https://www.shl.com/solutions/products/product-catalog/view/html5-new/,11.0,Yes,No,Knowledge & Skills,Technical Skills,The 'HTML5 (New)' is a Knowledge & Skills assessment. Duration is 11.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Human Resources (New),https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Human Resources (New)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
IBM DataStage (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,15.0,Yes,No,Knowledge & Skills,Technical Skills,The 'IBM DataStage (New)' is a Knowledge & Skills assessment. Duration is 15.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
IBM Sterling Order Management System (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,13.0,Yes,No,Knowledge & Skills,Technical Skills,The 'IBM Sterling Order Management System (New)' is a Knowledge & Skills assessment. Duration is 13.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Industrial Engineering (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Informatica (Architecture) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Informatica (Architecture) (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Informatica (Developer) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/,11.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Informatica (Developer) (New)' is a Knowledge & Skills assessment. Duration is 11.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Jenkins (New),https://www.shl.com/solutions/products/product-catalog/view/jenkins-new/,6.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Jenkins (New)' is a Knowledge & Skills assessment. Duration is 6.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Job Control Language (New),https://www.shl.com/solutions/products/product-catalog/view/job-control-language-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Job Control Language (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
jQuery (New),https://www.shl.com/solutions/products/product-catalog/view/jquery-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'jQuery (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Kubernetes (New),https://www.shl.com/solutions/products/product-catalog/view/kubernetes-new/,6.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Kubernetes (New)' is a Knowledge & Skills assessment. Duration is 6.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Linux Administration (New),https://www.shl.com/solutions/products/product-catalog/view/linux-administration-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Linux Administration (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Linux Operating System,https://www.shl.com/solutions/products/product-catalog/view/linux-operating-system/,15.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Linux Operating System' is a Knowledge & Skills assessment. Duration is 15.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Linux Programming (General),https://www.shl.com/solutions/products/product-catalog/view/linux-programming-general/,25.0,Yes,Yes,Knowledge & Skills,Technical Skills,The 'Linux Programming (General)' is a Knowledge & Skills assessment. Duration is 25.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
Load Runner (New),https://www.shl.com/solutions/products/product-catalog/view/load-runner-new/,6.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Load Runner (New)' is a Knowledge & Skills assessment. Duration is 6.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Management Scenarios,https://www.shl.com/solutions/products/product-catalog/view/management-scenarios/,,Yes,No,Biodata & Situational Judgement,,The 'Management Scenarios' is a Biodata & Situational Judgement assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Managerial Scenarios Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-candidate-report/,,Yes,No,Biodata & Situational Judgement,,The 'Managerial Scenarios Candidate Report' is a Biodata & Situational Judgement assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Managerial Scenarios Narrative Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-narrative-report/,,Yes,No,Biodata & Situational Judgement,,The 'Managerial Scenarios Narrative Report' is a Biodata & Situational Judgement assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Managerial Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/managerial-scenarios-profile-report/,,Yes,No,Biodata & Situational Judgement,,The 'Managerial Scenarios Profile Report' is a Biodata & Situational Judgement assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Manual Testing (New),https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Manual Testing (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Manufac. & Indust. - Mechanical & Vigilance 8.0,https://www.shl.com/solutions/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,49.0,Yes,No,,,The 'Manufac. & Indust. - Mechanical & Vigilance 8.0' is a General assessment. Duration is 49.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/solutions/products/product-catalog/view/safety-and-dependability-focus-8-0/,16.0,Yes,No,Personality & Behavior,,The 'Manufac. & Indust. - Safety & Dependability 8.0' is a Personality & Behavior assessment. Duration is 16.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/essential-focus-8-0/,16.0,Yes,No,Personality & Behavior,,The 'Manufacturing & Industrial - Essential Focus 8.0' is a Personality & Behavior assessment. Duration is 16.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Manufacturing & Industrial - Mechanical Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/mechanical-focus-8-0/,31.0,Yes,No,,,The 'Manufacturing & Industrial - Mechanical Focus 8.0' is a General assessment. Duration is 31.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Manufacturing & Industrial - Vigilance Focus 8.0,https://www.shl.com/solutions/products/product-catalog/view/vigilance-focus-8-0/,34.0,Yes,No,,,The 'Manufacturing & Industrial - Vigilance Focus 8.0' is a General assessment. Duration is 34.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Marketing (New),https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Marketing (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Maven (New),https://www.shl.com/solutions/products/product-catalog/view/maven-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Maven (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Mechanical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechanical-engineering-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Mechanical Engineering (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Mechatronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mechatronics-engineering-new/,19.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Mechatronics Engineering (New)' is a Knowledge & Skills assessment. Duration is 19.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Medical Terminology (New),https://www.shl.com/solutions/products/product-catalog/view/medical-terminology-new/,3.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Medical Terminology (New)' is a Knowledge & Skills assessment. Duration is 3.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Metallurgical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/metallurgical-engineering-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Metallurgical Engineering (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
MFS 360 Enterprise Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-enterprise-leadership-report/,,Yes,No,Development & 360,,The 'MFS 360 Enterprise Leadership Report' is a Development & 360 assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
MFS 360 UCF Group Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-group-report/,,Yes,No,Development & 360,,The 'MFS 360 UCF Group Report' is a Development & 360 assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,,Yes,No,Development & 360,,The 'MFS 360 UCF Performance Potential Dev Tips Report' is a Development & 360 assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
MFS 360 UCF Standard Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-standard-report/,,Yes,No,Development & 360,,The 'MFS 360 UCF Standard Report' is a Development & 360 assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Micro Focus Unified Functional Testing (New),https://www.shl.com/solutions/products/product-catalog/view/micro-focus-unified-functional-testing-new/,12.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Micro Focus Unified Functional Testing (New)' is a Knowledge & Skills assessment. Duration is 12.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Microservices (New),https://www.shl.com/solutions/products/product-catalog/view/microservices-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Microservices (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Microsoft Dynamics Development (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-dynamics-development-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Microsoft Dynamics Development (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Microsoft Excel 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,30.0,Yes,No,,,The 'Microsoft Excel 365 - Essentials (New)' is a General assessment. Duration is 30.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Microsoft Excel 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,35.0,Yes,No,,,The 'Microsoft Excel 365 (New)' is a General assessment. Duration is 35.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Microsoft Outlook 2013 (adaptive),https://www.shl.com/solutions/products/product-catalog/view/microsoft-outlook-2013-adaptive/,25.0,Yes,Yes,Knowledge & Skills,Technical Skills,The 'Microsoft Outlook 2013 (adaptive)' is a Knowledge & Skills assessment. Duration is 25.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,25.0,Yes,No,,,The 'Microsoft PowerPoint 365 - Essentials (New)' is a General assessment. Duration is 25.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Microsoft SQL Server 2014 Programming,https://www.shl.com/solutions/products/product-catalog/view/microsoft-sql-server-2014-programming/,35.0,Yes,Yes,Knowledge & Skills,Technical Skills,The 'Microsoft SQL Server 2014 Programming' is a Knowledge & Skills assessment. Duration is 35.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
Microsoft Windows Server 2012 Administration,https://www.shl.com/solutions/products/product-catalog/view/microsoft-windows-server-2012-administration/,35.0,Yes,Yes,Knowledge & Skills,Technical Skills,The 'Microsoft Windows Server 2012 Administration' is a Knowledge & Skills assessment. Duration is 35.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
Microsoft Word 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-essentials-new/,25.0,Yes,No,,,The 'Microsoft Word 365 - Essentials (New)' is a General assessment. Duration is 25.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Microsoft Word 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-new/,35.0,Yes,No,,,The 'Microsoft Word 365 (New)' is a General assessment. Duration is 35.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Mineral Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mineral-engineering-new/,12.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Mineral Engineering (New)' is a Knowledge & Skills assessment. Duration is 12.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
